id,date,city,state,fuel,price_inr_per_litre,Brent_Crude,USD_INR
0,2021-05-01,Delhi,Delhi,petrol,90.4,68.91,73.82
11,2021-05-01,Lucknow,Uttar Pradesh,diesel,80.94,68.91,73.82
10,2021-05-01,Lucknow,Uttar Pradesh,petrol,88.56,68.91,73.82
9,2021-05-01,Bengaluru,Karnataka,diesel,85.6,68.91,73.82
7,2021-05-01,Kolkata,West Bengal,diesel,83.61,68.91,73.82
6,2021-05-01,Kolkata,West Bengal,petrol,90.62,68.91,73.82
8,2021-05-01,Bengaluru,Karnataka,petrol,93.43,68.91,73.82
4,2021-05-01,Chennai,Tamil Nadu,petrol,92.43,68.91,73.82
3,2021-05-01,Mumbai,Maharashtra,diesel,87.81,68.91,73.82
2,2021-05-01,Mumbai,Maharashtra,petrol,96.83,68.91,73.82
1,2021-05-01,Delhi,Delhi,diesel,80.73,68.91,73.82
5,2021-05-01,Chennai,Tamil Nadu,diesel,85.75,68.91,73.82
19,2021-05-02,Kolkata,West Bengal,diesel,83.61,68.91,73.82
23,2021-05-02,Lucknow,Uttar Pradesh,diesel,80.94,68.91,73.82
22,2021-05-02,Lucknow,Uttar Pradesh,petrol,88.56,68.91,73.82
21,2021-05-02,Bengaluru,Karnataka,diesel,85.6,68.91,73.82
20,2021-05-02,Bengaluru,Karnataka,petrol,93.43,68.91,73.82
18,2021-05-02,Kolkata,West Bengal,petrol,90.62,68.91,73.82
14,2021-05-02,Mumbai,Maharashtra,petrol,96.83,68.91,73.82
16,2021-05-02,Chennai,Tamil Nadu,petrol,92.43,68.91,73.82
15,2021-05-02,Mumbai,Maharashtra,diesel,87.81,68.91,73.82
13,2021-05-02,Delhi,Delhi,diesel,80.73,68.91,73.82
12,2021-05-02,Delhi,Delhi,petrol,90.4,68.91,73.82
17,2021-05-02,Chennai,Tamil Nadu,diesel,85.75,68.91,73.82
31,2021-05-03,Kolkata,West Bengal,diesel,83.61,68.91,73.82
35,2021-05-03,Lucknow,Uttar Pradesh,diesel,80.94,68.91,73.82
34,2021-05-03,Lucknow,Uttar Pradesh,petrol,88.56,68.91,73.82
33,2021-05-03,Bengaluru,Karnataka,diesel,85.6,68.91,73.82
32,2021-05-03,Bengaluru,Karnataka,petrol,93.43,68.91,73.82
30,2021-05-03,Kolkata,West Bengal,petrol,90.62,68.91,73.82
26,2021-05-03,Mumbai,Maharashtra,petrol,96.83,68.91,73.82
28,2021-05-03,Chennai,Tamil Nadu,petrol,92.43,68.91,73.82
27,2021-05-03,Mumbai,Maharashtra,diesel,87.81,68.91,73.82
25,2021-05-03,Delhi,Delhi,diesel,80.73,68.91,73.82
24,2021-05-03,Delhi,Delhi,petrol,90.4,68.91,73.82
29,2021-05-03,Chennai,Tamil Nadu,diesel,85.75,68.91,73.82
47,2021-05-04,Lucknow,Uttar Pradesh,diesel,80.94,68.91,73.8
46,2021-05-04,Lucknow,Uttar Pradesh,petrol,88.56,68.91,73.8
45,2021-05-04,Bengaluru,Karnataka,diesel,85.6,68.91,73.8
44,2021-05-04,Bengaluru,Karnataka,petrol,93.43,68.91,73.8
43,2021-05-04,Kolkata,West Bengal,diesel,83.61,68.91,73.8
42,2021-05-04,Kolkata,West Bengal,petrol,90.62,68.91,73.8
40,2021-05-04,Chennai,Tamil Nadu,petrol,92.43,68.91,73.8
39,2021-05-04,Mumbai,Maharashtra,diesel,87.81,68.91,73.8
38,2021-05-04,Mumbai,Maharashtra,petrol,96.83,68.91,73.8
37,2021-05-04,Delhi,Delhi,diesel,80.73,68.91,73.8
36,2021-05-04,Delhi,Delhi,petrol,90.4,68.91,73.8
41,2021-05-04,Chennai,Tamil Nadu,diesel,85.75,68.91,73.8
55,2021-05-05,Kolkata,West Bengal,diesel,83.61,69.71,73.81
59,2021-05-05,Lucknow,Uttar Pradesh,diesel,80.94,69.71,73.81
58,2021-05-05,Lucknow,Uttar Pradesh,petrol,88.56,69.71,73.81
57,2021-05-05,Bengaluru,Karnataka,diesel,85.6,69.71,73.81
56,2021-05-05,Bengaluru,Karnataka,petrol,93.43,69.71,73.81
54,2021-05-05,Kolkata,West Bengal,petrol,90.62,69.71,73.81
