id,date,city,state,fuel,price_inr_per_litre
0,2021-05-01,Delhi,Delhi,petrol,90.4
1,2021-05-01,Delhi,Delhi,diesel,80.73
2,2021-05-01,Mumbai,Maharashtra,petrol,96.83
3,2021-05-01,Mumbai,Maharashtra,diesel,87.81
4,2021-05-01,Chennai,Tamil Nadu,petrol,92.43
5,2021-05-01,Chennai,Tamil Nadu,diesel,85.75
6,2021-05-01,Kolkata,West Bengal,petrol,90.62
7,2021-05-01,Kolkata,West Bengal,diesel,83.61
8,2021-05-01,Bengaluru,Karnataka,petrol,93.43
9,2021-05-01,Bengaluru,Karnataka,diesel,85.6
10,2021-05-01,Lucknow,Uttar Pradesh,petrol,88.56
11,2021-05-01,Lucknow,Uttar Pradesh,diesel,80.94
12,2021-05-02,Delhi,Delhi,petrol,90.4
13,2021-05-02,Delhi,Delhi,diesel,80.73
14,2021-05-02,Mumbai,Maharashtra,petrol,96.83
15,2021-05-02,Mumbai,Maharashtra,diesel,87.81
16,2021-05-02,Chennai,Tamil Nadu,petrol,92.43
17,2021-05-02,Chennai,Tamil Nadu,diesel,85.75
18,2021-05-02,Kolkata,West Bengal,petrol,90.62
19,2021-05-02,Kolkata,West Bengal,diesel,83.61
20,2021-05-02,Bengaluru,Karnataka,petrol,93.43
21,2021-05-02,Bengaluru,Karnataka,diesel,85.6
22,2021-05-02,Lucknow,Uttar Pradesh,petrol,88.56
23,2021-05-02,Lucknow,Uttar Pradesh,diesel,80.94
24,2021-05-03,Delhi,Delhi,petrol,90.4
25,2021-05-03,Delhi,Delhi,diesel,80.73
26,2021-05-03,Mumbai,Maharashtra,petrol,96.83
27,2021-05-03,Mumbai,Maharashtra,diesel,87.81
28,2021-05-03,Chennai,Tamil Nadu,petrol,92.43
29,2021-05-03,Chennai,Tamil Nadu,diesel,85.75
30,2021-05-03,Kolkata,West Bengal,petrol,90.62
31,2021-05-03,Kolkata,West Bengal,diesel,83.61
32,2021-05-03,Bengaluru,Karnataka,petrol,93.43
33,2021-05-03,Bengaluru,Karnataka,diesel,85.6
34,2021-05-03,Lucknow,Uttar Pradesh,petrol,88.56
35,2021-05-03,Lucknow,Uttar Pradesh,diesel,80.94
36,2021-05-04,Delhi,Delhi,petrol,90.4
37,2021-05-04,Delhi,Delhi,diesel,80.73
38,2021-05-04,Mumbai,Maharashtra,petrol,96.83
39,2021-05-04,Mumbai,Maharashtra,diesel,87.81
40,2021-05-04,Chennai,Tamil Nadu,petrol,92.43
41,2021-05-04,Chennai,Tamil Nadu,diesel,85.75
42,2021-05-04,Kolkata,West Bengal,petrol,90.62
43,2021-05-04,Kolkata,West Bengal,diesel,83.61
44,2021-05-04,Bengaluru,Karnataka,petrol,93.43
45,2021-05-04,Bengaluru,Karnataka,diesel,85.6
46,2021-05-04,Lucknow,Uttar Pradesh,petrol,88.56
47,2021-05-04,Lucknow,Uttar Pradesh,diesel,80.94
48,2021-05-05,Delhi,Delhi,petrol,90.4
49,2021-05-05,Delhi,Delhi,diesel,80.73
50,2021-05-05,Mumbai,Maharashtra,petrol,96.83
51,2021-05-05,Mumbai,Maharashtra,diesel,87.81
52,2021-05-05,Chennai,Tamil Nadu,petrol,92.43
53,2021-05-05,Chennai,Tamil Nadu,diesel,85.75
54,2021-05-05,Kolkata,West Bengal,petrol,90.62
55,2021-05-05,Kolkata,West Bengal,diesel,83.61
56,2021-05-05,Bengaluru,Karnataka,petrol,93.43
57,2021-05-05,Bengaluru,Karnataka,diesel,85.6
58,2021-05-05,Lucknow,Uttar Pradesh,petrol,88.56
59,2021-05-05,Lucknow,Uttar Pradesh,diesel,80.94
60,2021-05-06,Delhi,Delhi,petrol,90.4
61,2021-05-06,Delhi,Delhi,diesel,80.73
62,2021-05-06,Mumbai,Maharashtra,petrol,96.83
63,2021-05-06,Mumbai,Maharashtra,diesel,87.81
64,2021-05-06,Chennai,Tamil Nadu,petrol,92.43
65,2021-05-06,Chennai,Tamil Nadu,diesel,85.75
66,2021-05-06,Kolkata,West Bengal,petrol,90.62
67,2021-05-06,Kolkata,West Bengal,diesel,83.61
68,2021-05-06,Bengaluru,Karnataka,petrol,93.43
69,2021-05-06,Bengaluru,Karnataka,diesel,85.6
70,2021-05-06,Lucknow,Uttar Pradesh,petrol,88.56
71,2021-05-06,Lucknow,Uttar Pradesh,diesel,80.94
72,2021-05-07,Delhi,Delhi,petrol,90.4
73,2021-05-07,Delhi,Delhi,diesel,80.73
74,2021-05-07,Mumbai,Maharashtra,petrol,96.83
75,2021-05-07,Mumbai,Maharashtra,diesel,87.81
76,2021-05-07,Chennai,Tamil Nadu,petrol,92.43
77,2021-05-07,Chennai,Tamil Nadu,diesel,85.75
78,2021-05-07,Kolkata,West Bengal,petrol,90.62
79,2021-05-07,Kolkata,West Bengal,diesel,83.61
80,2021-05-07,Bengaluru,Karnataka,petrol,93.43
81,2021-05-07,Bengaluru,Karnataka,diesel,85.6
82,2021-05-07,Lucknow,Uttar Pradesh,petrol,88.56
83,2021-05-07,Lucknow,Uttar Pradesh,diesel,80.94
84,2021-05-08,Delhi,Delhi,petrol,90.4
85,2021-05-08,Delhi,Delhi,diesel,80.73
86,2021-05-08,Mumbai,Maharashtra,petrol,96.83
87,2021-05-08,Mumbai,Maharashtra,diesel,87.81
88,2021-05-08,Chennai,Tamil Nadu,petrol,92.43
89,2021-05-08,Chennai,Tamil Nadu,diesel,85.75
90,2021-05-08,Kolkata,West Bengal,petrol,90.62
91,2021-05-08,Kolkata,West Bengal,diesel,83.61
92,2021-05-08,Bengaluru,Karnataka,petrol,93.43
93,2021-05-08,Bengaluru,Karnataka,diesel,85.6
94,2021-05-08,Lucknow,Uttar Pradesh,petrol,88.56
95,2021-05-08,Lucknow,Uttar Pradesh,diesel,80.94
96,2021-05-09,Delhi,Delhi,petrol,90.4
97,2021-05-09,Delhi,Delhi,diesel,80.73
98,2021-05-09,Mumbai,Maharashtra,petrol,96.83
99,2021-05-09,Mumbai,Maharashtra,diesel,87.81
100,2021-05-09,Chennai,Tamil Nadu,petrol,92.43
101,2021-05-09,Chennai,Tamil Nadu,diesel,85.75
102,2021-05-09,Kolkata,West Bengal,petrol,90.62
103,2021-05-09,Kolkata,West Bengal,diesel,83.61
104,2021-05-09,Bengaluru,Karnataka,petrol,93.43
105,2021-05-09,Bengaluru,Karnataka,diesel,85.6
106,2021-05-09,Lucknow,Uttar Pradesh,petrol,88.56
107,2021-05-09,Lucknow,Uttar Pradesh,diesel,80.94
108,2021-05-10,Delhi,Delhi,petrol,90.4
109,2021-05-10,Delhi,Delhi,diesel,80.73
110,2021-05-10,Mumbai,Maharashtra,petrol,96.83
111,2021-05-10,Mumbai,Maharashtra,diesel,87.81
112,2021-05-10,Chennai,Tamil Nadu,petrol,92.43
113,2021-05-10,Chennai,Tamil Nadu,diesel,85.75
114,2021-05-10,Kolkata,West Bengal,petrol,90.62
115,2021-05-10,Kolkata,West Bengal,diesel,83.61
116,2021-05-10,Bengaluru,Karnataka,petrol,93.43
117,2021-05-10,Bengaluru,Karnataka,diesel,85.6
118,2021-05-10,Lucknow,Uttar Pradesh,petrol,88.56
119,2021-05-10,Lucknow,Uttar Pradesh,diesel,80.94
120,2021-05-11,Delhi,Delhi,petrol,90.4
121,2021-05-11,Delhi,Delhi,diesel,80.73
122,2021-05-11,Mumbai,Maharashtra,petrol,96.83
123,2021-05-11,Mumbai,Maharashtra,diesel,87.81
124,2021-05-11,Chennai,Tamil Nadu,petrol,92.43
125,2021-05-11,Chennai,Tamil Nadu,diesel,85.75
126,2021-05-11,Kolkata,West Bengal,petrol,90.62
127,2021-05-11,Kolkata,West Bengal,diesel,83.61
128,2021-05-11,Bengaluru,Karnataka,petrol,93.43
129,2021-05-11,Bengaluru,Karnataka,diesel,85.6
130,2021-05-11,Lucknow,Uttar Pradesh,petrol,88.56
131,2021-05-11,Lucknow,Uttar Pradesh,diesel,80.94
132,2021-05-12,Delhi,Delhi,petrol,90.4
